ranked_id	hap	fit	model
H187	00111100100101111010	0.7614489304628724	nk
H188	10011000011111011100	0.7611735192028317	nk
H189	11110101001011010100	0.7608589048339812	nk
H190	11110010101110001100	0.7605454309950853	nk
H191	10010011000000011100	0.7602448545962154	nk
H192	01011100100001000000	0.759982721596346	nk
H193	00000001100101011100	0.7597075679120288	nk
H194	10111110001001001101	0.7594319534519897	nk
H195	00111100000001100010	0.7591259385426556	nk
H196	00010100100011111011	0.7588473711425504	nk
H197	00111000110011001100	0.7585674135086177	nk
H198	01010001100101110000	0.758334611862945	nk
H199	00110000111001010001	0.7580651913887194	nk
H200	11111000101101000001	0.7577843539793677	nk
H201	10110000101011101111	0.7575333600318926	nk
H202	01111000101000011000	0.7572612479709646	nk
H203	01110000101011100000	0.7569978809729226	nk
H204	00100001100000001000	0.7566995776667805	nk
H205	11111100000101000101	0.7564253663364415	nk
H206	00110101100001010100	0.7561558424510086	nk
H207	10110011001000000100	0.7558901743129351	nk
H208	01111100000001000111	0.7556552860196776	nk
H209	01111001000001100100	0.7554068259326481	nk
H210	00110100101111001001	0.7550920031889262	nk
H211	00111010000001010101	0.754786818230023	nk
H212	10011000101110010100	0.7544809989504073	nk
H213	10011100001001001110	0.754203732179643	nk
H214	00111100000011111111	0.7539456854290004	nk
H215	00010001110101010000	0.7536394141673873	nk
H216	10111000101001010001	0.7533394510729126	nk
H217	11110010000111001100	0.7530798345815178	nk
H218	01110100010001000101	0.7528170745144861	nk
H219	11110100101101001111	0.752566725088894	nk
H220	00010101000101010001	0.7522914047117718	nk
H221	00010000100010000000	0.7520239530568812	nk
H222	01110101001001101111	0.7517512211355512	nk
H223	10011100001001011001	0.751509360776611	nk
H224	11110010100000001101	0.751271216985683	nk
H225	11010000100110011101	0.7510249279210608	nk
H226	10110011100000011100	0.7507799229259505	nk
H227	00010000101110001101	0.7505062076440772	nk
H228	10111100001001000110	0.7502775806589027	nk
H229	00110001101101100001	0.7500108347303271	nk
H230	10110001011001010101	0.7497640431790414	nk
H231	10110000110011011101	0.7495024815340765	nk
