ranked_id	hap	fit	model	N_max	r/s
H068	10001010010100000010	0.770869172212923	rmf	49302	9.993390304867278
H069	11001011100000111000	0.7702693306251843	rmf	49302	9.993390304867278
H070	01111111010101100101	0.7698006009280264	rmf	49302	9.993390304867278
H071	11110100101100110011	0.7692073562858666	rmf	49302	9.993390304867278
H072	10011011110100000111	0.7686198916751518	rmf	49302	9.993390304867278
H073	00111111101110110110	0.7681136021345728	rmf	49302	9.993390304867278
H074	01100110000011001111	0.7676558564940241	rmf	49302	9.993390304867278
H075	10001000001001011010	0.7670999503780064	rmf	49302	9.993390304867278
H076	11100110001111110010	0.7665705752214794	rmf	49302	9.993390304867278
H077	10101010010100000110	0.7660396117860845	rmf	49302	9.993390304867278
H078	01110101100010100000	0.7654575260124926	rmf	49302	9.993390304867278
H079	11101000001001001001	0.7649706122984585	rmf	49302	9.993390304867278
H080	00001001001110110000	0.7644975201381146	rmf	49302	9.993390304867278
H081	10111111100110110000	0.7640645476682357	rmf	49302	9.993390304867278
H082	00100001101101010101	0.7635489808248103	rmf	49302	9.993390304867278
H083	10111110010110110010	0.7630306448392751	rmf	49302	9.993390304867278
H084	11101001111101011001	0.7626144202789078	rmf	49302	9.993390304867278
H085	01101011000111011100	0.7621510218359216	rmf	49302	9.993390304867278
H086	00100110101010010110	0.7616903110505798	rmf	49302	9.993390304867278
H087	00110111101000010100	0.7612211038292019	rmf	49302	9.993390304867278
H088	10110111101100111000	0.7607816027991694	rmf	49302	9.993390304867278
H089	01110101100011010011	0.7602215123530328	rmf	49302	9.993390304867278
H090	01100010000110011000	0.7597524330159947	rmf	49302	9.993390304867278
H091	01011000101010000100	0.7593175930831744	rmf	49302	9.993390304867278
H092	11100110000110101010	0.7589185274146517	rmf	49302	9.993390304867278
H093	10001011011111000010	0.7584809479507737	rmf	49302	9.993390304867278
H094	11001111000011101010	0.7579978631557969	rmf	49302	9.993390304867278
H095	00100110001110000110	0.7575219046631062	rmf	49302	9.993390304867278
H096	10100001000111010001	0.75717012958913	rmf	49302	9.993390304867278
H097	01110010010111101011	0.7567893195571516	rmf	49302	9.993390304867278
H098	11110000011001010010	0.7563795177544195	rmf	49302	9.993390304867278
H099	11010111100100100101	0.7560321426967931	rmf	49302	9.993390304867278
H100	00100011010110011100	0.7556351798296482	rmf	49302	9.993390304867278
H101	10111110010111000010	0.7552069864034139	rmf	49302	9.993390304867278
H102	10111010000111000101	0.7548101060996877	rmf	49302	9.993390304867278
H103	10100001111110010110	0.7544473150249178	rmf	49302	9.993390304867278
H104	11001100111101000111	0.754053818229002	rmf	49302	9.993390304867278
H105	00001010111101111001	0.7537099280193382	rmf	49302	9.993390304867278
H106	11001100001010101011	0.7533177677119481	rmf	49302	9.993390304867278
H107	10110100110001000101	0.7529543197606592	rmf	49302	9.993390304867278
H108	01111101110111111110	0.7526317586438527	rmf	49302	9.993390304867278
H109	11110111101111101010	0.752266735732988	rmf	49302	9.993390304867278
H110	01010000001111000111	0.7518888959886856	rmf	49302	9.993390304867278
H111	00101111111111010001	0.7515307557509948	rmf	49302	9.993390304867278
H112	11111001100101101101	0.7511860429243314	rmf	49302	9.993390304867278
H113	00000011000100111110	0.7508374120678295	rmf	49302	9.993390304867278
H114	00001111101111000110	0.7504188458486574	rmf	49302	9.993390304867278
H115	10011111101101111011	0.7501267441761104	rmf	49302	9.993390304867278
H116	10101001011100000101	0.7497342230241583	rmf	49302	9.993390304867278
H117	01100001100001001010	0.749352488785181	rmf	49302	9.993390304867278
H118	00101111100111010000	0.7489760437115681	rmf	49302	9.993390304867278
H119	01101001101011101011	0.7486684289229804	rmf	49302	9.993390304867278
H120	00001110100111101001	0.748339884193087	rmf	49302	9.993390304867278
H121	01110001000110101001	0.7480449051789427	rmf	49302	9.993390304867278
H122	00101100111100011000	0.7476998503579413	rmf	49302	9.993390304867278
H123	00110100000010010101	0.7473843448702889	rmf	49302	9.993390304867278
H124	00110001100011011010	0.7470882023106787	rmf	49302	9.993390304867278
H125	01001110000011000011	0.7467853118683146	rmf	49302	9.993390304867278
H126	10100011010011000011	0.746416211635623	rmf	49302	9.993390304867278
H127	01101110100110111100	0.7461170436739268	rmf	49302	9.993390304867278
H128	11101001000011111011	0.7457666404690299	rmf	49302	9.993390304867278
H129	01100011110101010011	0.7454495849027684	rmf	49302	9.993390304867278
H130	00001011101111010101	0.7451279724143419	rmf	49302	9.993390304867278
H131	10100000101011011001	0.7448015685791465	rmf	49302	9.993390304867278
H132	10101011110001011010	0.7444606486808616	rmf	49302	9.993390304867278
H133	11001000111110010111	0.7442244122186227	rmf	49302	9.993390304867278
H134	11111011111010100100	0.7439228513511501	rmf	49302	9.993390304867278
H135	10101011111101001010	0.7436471734170297	rmf	49302	9.993390304867278
H136	01111001010110010110	0.7433837105607802	rmf	49302	9.993390304867278
H137	10101110100001010010	0.7431224289076331	rmf	49302	9.993390304867278
H138	00100101110100010011	0.7428521216500924	rmf	49302	9.993390304867278
H139	11011101110011101000	0.7425913868669114	rmf	49302	9.993390304867278
H140	10001100110101111110	0.7423272307762987	rmf	49302	9.993390304867278
H141	10010110101101011100	0.7420232088598429	rmf	49302	9.993390304867278
H142	00000110111110111110	0.741732346810988	rmf	49302	9.993390304867278
H143	10100110101110011000	0.7414401703732654	rmf	49302	9.993390304867278
H144	01100001110010111011	0.7411633376569388	rmf	49302	9.993390304867278
H145	11101100001111110000	0.74088330203311	rmf	49302	9.993390304867278
H146	10101110000101101011	0.7406131281047329	rmf	49302	9.993390304867278
H147	11101010010101000001	0.7403465145474979	rmf	49302	9.993390304867278
