ranked_id	hap	fit	model	N_max	r/s
H108	0011001100	0.6767510807702128	rmf	98	8.557551718005977
H109	1111100110	0.6763090779653647	rmf	98	8.557551718005977
H110	0110010100	0.6749608533563257	rmf	98	8.557551718005977
H111	1110101101	0.6745266610461647	rmf	98	8.557551718005977
H112	0100000101	0.6732931251479476	rmf	98	8.557551718005977
H113	1000111001	0.6699998260331694	rmf	98	8.557551718005977
H114	0000001101	0.6695770565618845	rmf	98	8.557551718005977
H115	0011110010	0.6688929698102993	rmf	98	8.557551718005977
H116	0010100111	0.6682702371247096	rmf	98	8.557551718005977
H117	0110100101	0.6679242971843331	rmf	98	8.557551718005977
H118	1110010100	0.6668411715141563	rmf	98	8.557551718005977
H119	1111011101	0.6666267780272488	rmf	98	8.557551718005977
H120	0011001010	0.6655719489904723	rmf	98	8.557551718005977
H121	0100101011	0.6649242091218028	rmf	98	8.557551718005977
H122	0110101101	0.6643571408956579	rmf	98	8.557551718005977
H123	0010110011	0.6638010218710214	rmf	98	8.557551718005977
H124	0111100000	0.663659971034947	rmf	98	8.557551718005977
H125	0001110100	0.6634687644535279	rmf	98	8.557551718005977
H126	0000000101	0.6628822873528625	rmf	98	8.557551718005977
H127	1001101011	0.6622299892381494	rmf	98	8.557551718005977
H128	1001001011	0.6619239351860695	rmf	98	8.557551718005977
H129	0010101101	0.6606801245134261	rmf	98	8.557551718005977
H130	0111100111	0.660266147066611	rmf	98	8.557551718005977
H131	0110110111	0.6595411331364818	rmf	98	8.557551718005977
H132	0111100101	0.6589956483592816	rmf	98	8.557551718005977
H133	0111110010	0.6587539683530147	rmf	98	8.557551718005977
H134	0011101101	0.6584302998206618	rmf	98	8.557551718005977
H135	1001111101	0.6565499703147761	rmf	98	8.557551718005977
H136	0010101010	0.6565119482956923	rmf	98	8.557551718005977
H137	1110110100	0.654641936430131	rmf	98	8.557551718005977
H138	0010011010	0.6542744458819858	rmf	98	8.557551718005977
H139	0101011010	0.6542001429714374	rmf	98	8.557551718005977
H140	1100011001	0.6532949870071987	rmf	98	8.557551718005977
H141	1111100111	0.6523631052343436	rmf	98	8.557551718005977
H142	1100011101	0.6522257022804634	rmf	98	8.557551718005977
H143	0001111101	0.6515250131721403	rmf	98	8.557551718005977
H144	0100001101	0.6488151160464438	rmf	98	8.557551718005977
H145	1011100111	0.6476864236370588	rmf	98	8.557551718005977
H146	1101011000	0.6456851257002462	rmf	98	8.557551718005977
H147	1111100101	0.6449880932281993	rmf	98	8.557551718005977
H148	0000000110	0.6444668059079721	rmf	98	8.557551718005977
H149	1010100101	0.6442857864020507	rmf	98	8.557551718005977
H150	0011000011	0.6442136029898056	rmf	98	8.557551718005977
H151	0101000110	0.6441981945029878	rmf	98	8.557551718005977
H152	0111010101	0.6440591045393009	rmf	98	8.557551718005977
H153	1000010101	0.6438438508795251	rmf	98	8.557551718005977
H154	1001100011	0.6438424496227553	rmf	98	8.557551718005977
H155	1010100000	0.6423260813673363	rmf	98	8.557551718005977
H156	0101101110	0.6418224203804245	rmf	98	8.557551718005977
H157	0010001101	0.6417931064337282	rmf	98	8.557551718005977
H158	0111000010	0.6412568116950932	rmf	98	8.557551718005977
H159	1010111111	0.6405583605518034	rmf	98	8.557551718005977
H160	0011110101	0.6376039172372787	rmf	98	8.557551718005977
H161	0100001110	0.6372577166797018	rmf	98	8.557551718005977
H162	0100000110	0.6368108320119935	rmf	98	8.557551718005977
H163	0101011101	0.6368081925784973	rmf	98	8.557551718005977
H164	1101011001	0.6360149652623676	rmf	98	8.557551718005977
H165	0100010010	0.635982327892567	rmf	98	8.557551718005977
H166	1111001011	0.6355645967968886	rmf	98	8.557551718005977
H167	0101010101	0.6355339316127411	rmf	98	8.557551718005977
H168	1110011001	0.6353456887588483	rmf	98	8.557551718005977
H169	1001000101	0.6352078389488126	rmf	98	8.557551718005977
H170	1110111001	0.635055911885187	rmf	98	8.557551718005977
H171	0100111100	0.6350097261491434	rmf	98	8.557551718005977
H172	1101111100	0.6342480057938347	rmf	98	8.557551718005977
H173	1011011101	0.6340368394681736	rmf	98	8.557551718005977
H174	0001101110	0.6330229740079755	rmf	98	8.557551718005977
H175	0010000001	0.631393449855275	rmf	98	8.557551718005977
H176	1011101001	0.6312018662223478	rmf	98	8.557551718005977
H177	1010000010	0.6309691581515401	rmf	98	8.557551718005977
H178	0000001100	0.6305167946218975	rmf	98	8.557551718005977
H179	0000100111	0.6302084649363469	rmf	98	8.557551718005977
H180	0101011111	0.6291736467603537	rmf	98	8.557551718005977
H181	1011010101	0.6274133785788277	rmf	98	8.557551718005977
H182	1011001011	0.627172944705986	rmf	98	8.557551718005977
H183	1101010001	0.6248131188851757	rmf	98	8.557551718005977
H184	1000101001	0.624203521040312	rmf	98	8.557551718005977
H185	1110100100	0.6236672283547049	rmf	98	8.557551718005977
H186	1001100111	0.623569787759913	rmf	98	8.557551718005977
H187	0011110110	0.6229144645103668	rmf	98	8.557551718005977
H188	1010110101	0.6222632885021068	rmf	98	8.557551718005977
H189	1010101111	0.6219048357585695	rmf	98	8.557551718005977
H190	0000011011	0.6206470094512382	rmf	98	8.557551718005977
H191	0000100001	0.620593174702157	rmf	98	8.557551718005977
H192	1101111101	0.6203097774030115	rmf	98	8.557551718005977
H193	1011100110	0.6201586732564983	rmf	98	8.557551718005977
H194	0000101110	0.6201370465594522	rmf	98	8.557551718005977
H195	0011101100	0.6194416650407504	rmf	98	8.557551718005977
H196	0110111111	0.6189233758849452	rmf	98	8.557551718005977
