Generation	String	Fitness	Landscape	Algorithm
12	1110100001111111111101100110110001010000000001110110011101111110101111000010011011001111100100110001	52	Additive	novelty
12	1110100001011111111101100110111001010000000001110110011101111110101111000010011011001111100100110001	54	Additive	novelty
12	1110100001111111111101100110111001010000000001110110011101111111101111000010011011001111100100110001	52	Additive	novelty
12	1110100001111111111101110110111001010000000001110110011101111110101111000010011011001111100100110001	54	Additive	novelty
12	1110100001111111111101100110111001011000000001110110011101111110101111000010011011001111100100110001	52	Additive	novelty
12	1110100001111111111001100110111001010000000001110110011101111110101111000010011011001111100100110001	54	Additive	novelty
12	1110100001111111101101100110111001010000000001110110011101111110101111000010011011001111100100110001	52	Additive	novelty
12	1110100001111111111111100110111001010000000001110110011101111110101111000010011011001111100100110001	52	Additive	novelty
13	1110100001111111111111100110111001010000000001110110011101111110101110000010011011001111100100110001	51	Additive	novelty
13	1110100001111111111111100110111001010000000001110111011101111110101111000010011011001111100100110001	53	Additive	novelty
13	1110100001111111111111100110111001010000000001110110011101111110101111000010111011001111100100110001	51	Additive	novelty
13	1110100001111101111111100110111001010000000001110110011101111110101111000010011011001111100100110001	53	Additive	novelty
13	1110000001111111111101100110111001010000000001110110011101111111101111000010011011001111100100110001	53	Additive	novelty
13	1110000001111111111001100110111001010000000001110110011101111110101111000010011011001111100100110001	55	Additive	novelty
13	1110100001111111111101100110111001010000000001110110011101111110101111000010011011001111100100110001	53	Additive	novelty
13	1110100001111111111101100110110001010000000001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
13	1110100001111111111101100110111001011000000001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
13	1110100001111111111101100110111001010000000001110110011101111110101111000010011011001111100100110001	53	Additive	novelty
14	1110100001111111111101100110111001010000000001110110011101101110101111000010011011001111100100110001	52	Additive	novelty
14	1110100001111111111101100110111001110000000001110110011101111110101111000010011011001111100100110001	52	Additive	novelty
14	1110100001111111111101100110111001010010000001110110011101111110101111000010011011001111100100110001	54	Additive	novelty
